Time,Asset,Timeframe,Type,Confidence,Price,Status,Return
2025-12-23 00:30:00,Bitcoin,15m,SHORT 🔴,67%,87917.75,TIME LIMIT ⌛,0.65%
2025-12-23 00:00:00,US Oil,1D,LONG 🟢,49%,58.380001068115234,OPEN,-0.05%
2025-12-22 21:30:00,Ethereum,15m,SHORT 🔴,41%,2993.66,TIME LIMIT ⌛,0.73%
2025-12-22 20:45:00,Solana,15m,LONG 🟢,41%,126.54,HIT SL 🔴,-1.00%
2025-12-22 20:30:00,Silver Futures,15m,LONG 🟢,47%,69.45999908447266,HIT TP 🟢,1.00%
2025-12-22 19:00:00,AUS 200,4D,LONG 🟢,51%,8762.7001953125,OPEN,0.00%
2025-12-22 19:00:00,GBP/USD,1D,LONG 🟢,53%,1.3469899892807007,OPEN,0.40%
2025-12-22 19:00:00,Solana,12H,SHORT 🔴,41%,125.1,OPEN,2.20%
2025-12-22 16:00:00,Avalanche,1H,LONG 🟢,77%,12.34,HIT SL 🔴,-1.00%
2025-12-22 11:00:00,US Oil,1H,LONG 🟢,65%,57.810001373291016,HIT TP 🟢,1.00%
2025-12-22 10:30:00,Gold Futures,15m,LONG 🟢,56%,4463.39990234375,HIT TP 🟢,1.00%
2025-12-22 09:00:00,XRP,15m,LONG 🟢,68%,1.9356,HIT SL 🔴,-1.00%
2025-12-22 07:15:00,US Oil,15m,LONG 🟢,66%,57.709999084472656,TIME LIMIT ⌛,0.42%
2025-12-22 02:00:00,Chainlink,15m,LONG 🟢,71%,12.54,HIT TP 🟢,2.00%
2025-12-22 01:30:00,Cardano,15m,LONG 🟢,63%,0.3669,HIT TP 🟢,2.00%
2025-12-22 00:15:00,US Oil,15m,LONG 🟢,72%,57.02000045776367,HIT TP 🟢,1.00%
2025-12-21 22:00:00,Arbitrum,15m,LONG 🟢,76%,0.1875,HIT TP 🟢,2.00%
2025-12-21 22:00:00,Arbitrum,1H,LONG 🟢,76%,0.189,HIT SL 🔴,-1.00%
2025-12-21 21:30:00,Gold Futures,15m,LONG 🟢,69%,4416.60009765625,TIME LIMIT ⌛,0.62%
2025-12-21 19:00:00,Avalanche,15m,LONG 🟢,68%,12.27,HIT SL 🔴,-1.00%
2025-12-21 19:00:00,DXY Index,12H,SHORT 🔴,66%,98.47799682617188,OPEN,0.51%
2025-12-21 19:00:00,US Oil,12H,LONG 🟢,47%,57.7400016784668,OPEN,1.07%
2025-12-21 19:00:00,Arbitrum,1H,LONG 🟢,41%,0.1906,HIT SL 🔴,-1.00%
2025-12-21 19:00:00,AUD/USD,12H,LONG 🟢,52%,0.6644960045814514,OPEN,0.87%
2025-12-21 19:00:00,Bitcoin,12H,LONG 🟢,44%,90000,OPEN,-2.47%
2025-12-21 17:00:00,Bitcoin,15m,LONG 🟢,44%,88383.55,TIME LIMIT ⌛,0.93%
2025-12-21 13:00:00,XRP,15m,SHORT 🔴,44%,1.9026,HIT SL 🔴,-1.00%
2025-12-21 12:45:00,Cardano,15m,SHORT 🔴,67%,0.3633,HIT SL 🔴,-1.00%
2025-12-21 11:45:00,BNB,15m,LONG 🟢,59%,852.85,TIME LIMIT ⌛,0.63%
2025-12-21 10:45:00,Solana,15m,LONG 🟢,42%,125.14,HIT TP 🟢,2.00%
2025-12-21 10:15:00,Bitcoin,15m,SHORT 🔴,45%,87920.5,FLIP 🔄,-0.53%
2025-12-21 08:00:00,BNB,15m,SHORT 🔴,65%,852.34,FLIP 🔄,-0.06%
2025-12-21 08:00:00,Arbitrum,15m,SHORT 🔴,73%,0.1861,TIME LIMIT ⌛,1.50%
2025-12-21 07:45:00,Dogecoin,15m,SHORT 🔴,65%,0.13175,HIT TP 🟢,2.00%
2025-12-21 07:30:00,Chainlink,15m,SHORT 🔴,68%,12.56,HIT TP 🟢,2.00%
2025-12-21 07:30:00,Ethereum,15m,SHORT 🔴,42%,2986.05,TIME LIMIT ⌛,-0.04%
2025-12-21 07:30:00,Bitcoin,15m,LONG 🟢,49%,88833.43,HIT SL 🔴,-1.00%
2025-12-21 07:00:00,Cardano,1H,SHORT 🔴,68%,0.3682,HIT TP 🟢,2.00%
2025-12-20 19:30:00,Cardano,15m,SHORT 🔴,60%,0.3724,TIME LIMIT ⌛,0.05%
2025-12-20 09:00:00,Chainlink,15m,LONG 🟢,68%,12.62,TIME LIMIT ⌛,-0.08%
2025-12-20 00:00:00,XRP,1H,LONG 🟢,40%,1.9153,HIT TP 🟢,2.00%
2025-12-19 14:00:00,Chainlink,15m,LONG 🟢,73%,12.55,TIME LIMIT ⌛,-0.24%
2025-12-19 13:00:00,Ethereum,1H,LONG 🟢,68%,2968.47,HIT TP 🟢,2.00%
2025-12-19 13:00:00,Arbitrum,15m,LONG 🟢,80%,0.1916,TIME LIMIT ⌛,0.89%
2025-12-19 10:45:00,Avalanche,15m,LONG 🟢,73%,12.19,TIME LIMIT ⌛,0.66%
2025-12-19 10:15:00,Dogecoin,15m,LONG 🟢,71%,0.12972,HIT TP 🟢,2.00%
2025-12-19 09:30:00,Nasdaq 100,1H,LONG 🟢,67%,25266.091796875,HIT TP 🟢,1.00%
2025-12-19 09:00:00,Arbitrum,15m,LONG 🟢,71%,0.1874,HIT TP 🟢,2.00%
2025-12-19 09:00:00,Cardano,15m,LONG 🟢,67%,0.3668,HIT TP 🟢,2.00%
2025-12-19 08:00:00,Silver Futures,1H,LONG 🟢,61%,65.93000030517578,HIT TP 🟢,1.00%
2025-12-19 07:00:00,DXY Index,12H,LONG 🟢,55%,98.71800231933594,FLIP 🔄,-0.24%
2025-12-19 07:00:00,AUD/USD,12H,SHORT 🔴,42%,0.6614194512367249,FLIP 🔄,-0.47%
2025-12-19 03:45:00,BNB,15m,LONG 🟢,70%,845.49,TIME LIMIT ⌛,-0.18%
2025-12-19 01:30:00,XRP,15m,LONG 🟢,65%,1.8425,HIT TP 🟢,2.00%
2025-12-19 00:45:00,Bitcoin,15m,LONG 🟢,43%,87223.54,TIME LIMIT ⌛,0.97%
2025-12-19 00:30:00,Cardano,15m,LONG 🟢,77%,0.361,HIT TP 🟢,2.00%
2025-12-18 20:00:00,XRP,15m,SHORT 🔴,66%,1.7873,HIT SL 🔴,-1.00%
2025-12-18 18:30:00,Avalanche,15m,SHORT 🔴,56%,11.46,HIT SL 🔴,-1.00%
2025-12-18 18:30:00,Dogecoin,15m,SHORT 🔴,64%,0.12212,HIT SL 🔴,-1.00%
2025-12-18 12:00:00,Chainlink,1H,SHORT 🔴,69%,12.11,HIT TP 🟢,2.00%
2025-12-18 12:00:00,Avalanche,1H,SHORT 🔴,72%,11.67,HIT TP 🟢,2.00%
2025-12-18 12:00:00,Solana,15m,SHORT 🔴,68%,123.3,HIT TP 🟢,2.00%
2025-12-18 11:00:00,US Oil,4H,SHORT 🔴,41%,55.83000183105469,HIT SL 🔴,-0.50%
2025-12-18 10:00:00,XRP,15m,LONG 🟢,69%,1.899,HIT SL 🔴,-1.00%
2025-12-18 09:45:00,Solana,15m,LONG 🟢,74%,125.89,HIT TP 🟢,2.00%
2025-12-18 09:45:00,Ethereum,15m,LONG 🟢,76%,2948.13,HIT SL 🔴,-1.00%
2025-12-18 07:00:00,AUS 200,12H,LONG 🟢,48%,8646.5,OPEN,1.34%
2025-12-18 03:00:00,Arbitrum,1H,SHORT 🔴,61%,0.1831,HIT SL 🔴,-1.00%
2025-12-18 00:00:00,Ethereum,15m,SHORT 🔴,40%,2830.59,HIT SL 🔴,-1.00%
2025-12-17 20:15:00,Arbitrum,15m,SHORT 🔴,69%,0.1827,TIME LIMIT ⌛,-0.99%
2025-12-17 18:15:00,Avalanche,15m,SHORT 🔴,65%,11.83,TIME LIMIT ⌛,0.59%
2025-12-17 15:00:00,US Oil,1H,LONG 🟢,60%,56.529998779296875,HIT SL 🔴,-0.50%
2025-12-17 11:00:00,Silver Futures,1H,LONG 🟢,43%,66.7249984741211,HIT SL 🔴,-0.50%
2025-12-17 10:45:00,Avalanche,15m,SHORT 🔴,68%,12.15,HIT TP 🟢,2.00%
2025-12-17 10:30:00,S&P 500,1H,SHORT 🔴,71%,6755.66015625,HIT SL 🔴,-0.50%
2025-12-17 10:30:00,Arbitrum,15m,SHORT 🔴,69%,0.1979,HIT TP 🟢,2.00%
2025-12-17 10:30:00,Nasdaq 100,1H,SHORT 🔴,63%,24834.2421875,HIT SL 🔴,-0.50%
2025-12-17 10:30:00,Chainlink,15m,SHORT 🔴,61%,12.75,HIT TP 🟢,2.00%
2025-12-17 10:00:00,Bitcoin,1H,SHORT 🔴,73%,87469.85,HIT TP 🟢,2.00%
2025-12-17 10:00:00,Ethereum,1H,SHORT 🔴,71%,2913,HIT TP 🟢,2.00%
2025-12-17 10:00:00,Cardano,1H,SHORT 🔴,67%,0.3819,HIT TP 🟢,2.00%
2025-12-17 10:00:00,Arbitrum,1H,SHORT 🔴,67%,0.1942,HIT TP 🟢,2.00%
2025-12-17 09:45:00,BNB,15m,LONG 🟢,54%,868.6,HIT SL 🔴,-1.00%
2025-12-17 09:45:00,Chainlink,15m,LONG 🟢,60%,12.96,HIT SL 🔴,-1.00%
2025-12-17 09:30:00,Chainlink,15m,SHORT 🔴,67%,12.7,HIT SL 🔴,-1.00%
2025-12-17 08:00:00,BNB,15m,SHORT 🔴,61%,859.36,HIT SL 🔴,-1.00%
2025-12-17 07:00:00,EUR/USD,12H,LONG 🟢,66%,1.1745359897613525,OPEN,0.35%
2025-12-17 04:15:00,Bitcoin,15m,SHORT 🔴,42%,86354.66,HIT SL 🔴,-1.00%
2025-12-16 19:45:00,Solana,15m,LONG 🟢,65%,128.84,HIT SL 🔴,-1.00%
2025-12-16 13:00:00,Dogecoin,1H,LONG 🟢,40%,0.13247,HIT SL 🔴,-1.00%
2025-12-16 13:00:00,Silver Futures,1H,LONG 🟢,40%,63.90999984741211,HIT SL 🔴,-0.50%
2025-12-16 11:00:00,Ethereum,1H,SHORT 🔴,58%,2943.12,HIT SL 🔴,-1.00%
2025-12-16 10:45:00,Arbitrum,15m,LONG 🟢,70%,0.1993,HIT TP 🟢,2.00%
2025-12-16 10:30:00,Cardano,15m,LONG 🟢,63%,0.3867,HIT SL 🔴,-1.00%
2025-12-16 09:45:00,Dogecoin,15m,LONG 🟢,56%,0.13115,TIME LIMIT ⌛,0.53%
2025-12-16 09:00:00,Chainlink,15m,LONG 🟢,58%,12.88,TIME LIMIT ⌛,0.08%
2025-12-16 08:45:00,Bitcoin,15m,SHORT 🔴,41%,86549.73,HIT SL 🔴,-1.00%
2025-12-16 08:00:00,Ethereum,1H,SHORT 🔴,66%,2913.05,HIT SL 🔴,-1.00%
2025-12-16 08:00:00,Cardano,1H,SHORT 🔴,65%,0.3828,HIT SL 🔴,-1.00%
2025-12-16 07:45:00,Chainlink,15m,LONG 🟢,59%,12.96,HIT SL 🔴,-1.00%
2025-12-16 07:00:00,Avalanche,1H,SHORT 🔴,64%,12.29,HIT TP 🟢,2.00%
2025-12-16 05:30:00,Bitcoin,15m,LONG 🟢,74%,87003.34,FLIP 🔄,-0.52%
2025-12-16 05:15:00,Ethereum,15m,SHORT 🔴,40%,2927.67,HIT SL 🔴,-1.00%
2025-12-16 02:15:00,Solana,15m,SHORT 🔴,58%,126.63,HIT SL 🔴,-1.00%
2025-12-15 23:45:00,Arbitrum,15m,SHORT 🔴,40%,0.1919,HIT SL 🔴,-1.00%
2025-12-15 23:15:00,Chainlink,15m,SHORT 🔴,62%,12.75,HIT SL 🔴,-1.00%
2025-12-15 23:15:00,Solana,15m,SHORT 🔴,60%,125.88,HIT SL 🔴,-1.00%
2025-12-15 22:00:00,Bitcoin,15m,SHORT 🔴,70%,85887.54,HIT SL 🔴,-1.00%
2025-12-15 19:00:00,AUS 200,12H,SHORT 🔴,40%,8598.900390625,FLIP 🔄,-0.55%
2025-12-15 11:30:00,Nasdaq 100,1H,SHORT 🔴,65%,25128.748046875,HIT TP 🟢,1.00%
2025-12-15 09:00:00,Solana,1H,SHORT 🔴,61%,130.85,HIT TP 🟢,2.00%
2025-12-15 09:00:00,Arbitrum,1H,SHORT 🔴,65%,0.2073,HIT TP 🟢,2.00%
2025-12-15 07:00:00,Ethereum,4H,SHORT 🔴,70%,3014.21,HIT TP 🟢,2.00%
2025-12-15 07:00:00,Cardano,4H,SHORT 🔴,70%,0.3853,HIT SL 🔴,-1.00%
2025-12-14 20:00:00,Ethereum,1H,LONG 🟢,68%,3113.05,HIT TP 🟢,2.00%
2025-12-14 15:00:00,Cardano,1H,SHORT 🔴,68%,0.3975,HIT SL 🔴,-1.00%
2025-12-14 07:00:00,BNB,12H,SHORT 🔴,40%,877.5,OPEN,4.85%
2025-12-14 07:00:00,US Oil,12H,SHORT 🔴,43%,57.58000183105469,FLIP 🔄,-0.28%
2025-12-13 15:00:00,Avalanche,1H,SHORT 🔴,63%,13.36,HIT TP 🟢,2.00%
2025-12-13 11:00:00,Arbitrum,1H,LONG 🟢,66%,0.212,HIT TP 🟢,2.00%
2025-12-12 19:00:00,BNB,12H,LONG 🟢,42%,893.14,FLIP 🔄,-1.75%
2025-12-12 19:00:00,XRP,12H,SHORT 🔴,41%,2.035,OPEN,8.25%
2025-12-11 20:00:00,BNB,1H,LONG 🟢,69%,886.56,HIT SL 🔴,-1.00%
2025-12-11 19:00:00,BNB,12H,SHORT 🔴,40%,885.76,FLIP 🔄,-0.83%
2025-12-11 08:00:00,AUS 200,1D,LONG 🟢,49%,8697.2998046875,OPEN,0.75%
2025-12-11 08:00:00,US Oil,1H,SHORT 🔴,66%,57.599998474121094,HIT TP 🟢,1.00%
2025-12-11 07:00:00,GBP/USD,12H,LONG 🟢,68%,1.3391542434692383,OPEN,0.98%
2025-12-10 19:00:00,AUD/USD,1D,LONG 🟢,57%,0.6674498319625854,OPEN,0.42%
2025-12-10 19:00:00,BNB,1D,SHORT 🔴,41%,884.88,OPEN,5.65%
2025-12-10 15:00:00,Dogecoin,4H,SHORT 🔴,69%,0.14327,HIT TP 🟢,2.00%
2025-12-10 14:00:00,Silver Futures,1H,LONG 🟢,54%,61.57500076293945,HIT TP 🟢,1.00%
2025-12-10 11:00:00,Gold Futures,4H,LONG 🟢,43%,4245.7001953125,HIT SL 🔴,-0.50%
2025-12-10 10:00:00,Ethereum,1H,LONG 🟢,69%,3333.27,HIT TP 🟢,2.00%
2025-12-10 08:00:00,US Oil,1H,SHORT 🔴,70%,58.31999969482422,HIT TP 🟢,1.00%
2025-12-09 10:00:00,BNB,1H,LONG 🟢,70%,906.21,HIT TP 🟢,2.00%
2025-12-09 08:00:00,US Oil,1H,SHORT 🔴,72%,58.79999923706055,HIT TP 🟢,1.00%
2025-12-09 07:00:00,Dogecoin,4H,LONG 🟢,73%,0.14635,HIT TP 🟢,2.00%
2025-12-09 07:00:00,Bitcoin,4H,LONG 🟢,77%,92549.41,HIT TP 🟢,2.00%
2025-12-07 22:00:00,Arbitrum,1H,LONG 🟢,75%,0.2119,HIT TP 🟢,2.00%
2025-12-07 19:00:00,Bitcoin,12H,LONG 🟢,42%,91979.6,HIT SL 🔴,-4.00%
2025-12-07 07:00:00,Gold Futures,12H,LONG 🟢,46%,4230.60009765625,HIT TP 🟢,7.00%
2025-12-06 16:00:00,Bitcoin,1H,SHORT 🔴,74%,89457.04,HIT SL 🔴,-1.00%
2025-12-05 11:00:00,Chainlink,1H,SHORT 🔴,76%,13.56,HIT SL 🔴,-1.00%
2025-12-04 07:00:00,AUD/USD,12H,LONG 🟢,60%,0.6608075499534607,FLIP 🔄,0.09%
2025-12-04 00:00:00,US Oil,1D,LONG 🟢,44%,59.66999816894531,HIT SL 🔴,-3.00%
2025-12-03 19:00:00,AUS 200,12H,LONG 🟢,50%,8618.400390625,FLIP 🔄,-0.23%
2025-12-03 17:00:00,Chainlink,1H,LONG 🟢,63%,14.59,HIT TP 🟢,2.00%
2025-12-03 12:00:00,Arbitrum,1H,LONG 🟢,70%,0.22,HIT TP 🟢,2.00%
2025-12-03 11:00:00,US Oil,1H,SHORT 🔴,40%,58.959999084472656,HIT SL 🔴,-0.50%
2025-12-02 20:00:00,Solana,1H,LONG 🟢,79%,138.92,HIT TP 🟢,2.00%
2025-12-02 20:00:00,Bitcoin,1H,LONG 🟢,71%,92135.19,HIT TP 🟢,2.00%
2025-12-02 19:00:00,Avalanche,1H,LONG 🟢,71%,13.7,HIT TP 🟢,2.00%
2025-12-02 19:00:00,GBP/USD,4D,LONG 🟢,54%,1.332178831100464,OPEN,1.51%
2025-12-02 16:00:00,Dogecoin,1H,LONG 🟢,74%,0.14536,HIT TP 🟢,2.00%
2025-12-02 14:00:00,US Oil,1H,SHORT 🔴,41%,58.619998931884766,HIT SL 🔴,-0.50%
2025-12-02 09:00:00,Arbitrum,1H,LONG 🟢,77%,0.2013,HIT TP 🟢,2.00%
2025-12-02 07:00:00,Ethereum,4H,LONG 🟢,73%,2998.86,HIT TP 🟢,2.00%
2025-12-02 07:00:00,Dogecoin,4H,LONG 🟢,66%,0.14604,HIT TP 🟢,2.00%
2025-12-02 02:00:00,XRP,1H,SHORT 🔴,64%,2.0169,HIT SL 🔴,-1.00%
2025-12-01 04:00:00,XRP,1H,SHORT 🔴,66%,2.0551,HIT TP 🟢,2.00%
2025-11-30 19:00:00,AUS 200,12H,SHORT 🔴,49%,8565.2001953125,FLIP 🔄,-0.62%
2025-11-30 19:00:00,DXY Index,4D,SHORT 🔴,54%,98.98999786376952,OPEN,1.02%
2025-11-30 18:00:00,Solana,1H,SHORT 🔴,71%,133.41,HIT TP 🟢,2.00%
2025-11-30 18:00:00,Avalanche,1H,SHORT 🔴,76%,13.7,HIT TP 🟢,2.00%
2025-11-29 12:00:00,Solana,1H,SHORT 🔴,63%,136.3,HIT SL 🔴,-1.00%
2025-11-28 19:00:00,Arbitrum,12H,SHORT 🔴,41%,0.2149,HIT TP 🟢,14.00%
2025-11-28 19:00:00,EUR/USD,4D,LONG 🟢,55%,1.1607661247253418,OPEN,1.54%
2025-11-28 07:00:00,US Oil,12H,LONG 🟢,46%,59.439998626708984,HIT SL 🔴,-3.00%
2025-11-28 00:00:00,DXY Index,1D,SHORT 🔴,52%,99.45999908447266,OPEN,1.49%
2025-11-27 19:00:00,AUD/USD,4D,LONG 🟢,55%,0.6551298499107361,HIT TP 🟢,2.00%
2025-11-26 19:00:00,Bitcoin,1D,SHORT 🔴,44%,91452.2,OPEN,4.02%
2025-11-26 19:00:00,EUR/USD,1D,LONG 🟢,48%,1.1602139472961426,OPEN,1.59%
2025-11-26 19:00:00,GBP/USD,1D,LONG 🟢,54%,1.3244997262954712,HIT TP 🟢,2.00%
2025-11-26 19:00:00,AUD/USD,1D,LONG 🟢,56%,0.6524859666824341,HIT TP 🟢,2.00%
2025-11-26 13:00:00,US Oil,1H,LONG 🟢,62%,58.310001373291016,HIT TP 🟢,1.00%
2025-11-26 10:00:00,Silver Futures,1H,LONG 🟢,52%,53.09000015258789,HIT SL 🔴,-0.50%
2025-11-25 19:00:00,AUD/USD,12H,LONG 🟢,52%,0.649350643157959,HIT TP 🟢,2.00%
2025-11-25 19:00:00,Avalanche,1D,SHORT 🔴,46%,14.91,HIT TP 🟢,14.00%
2025-11-25 15:00:00,Gold Futures,4H,LONG 🟢,71%,4167.60009765625,HIT SL 🔴,-0.50%
2025-11-25 11:00:00,Dogecoin,4H,LONG 🟢,62%,0.15102,HIT TP 🟢,2.00%
2025-11-25 07:00:00,DXY Index,12H,SHORT 🔴,60%,99.79199981689453,FLIP 🔄,1.08%
2025-11-25 07:00:00,GBP/USD,12H,LONG 🟢,43%,1.3158761262893677,HIT TP 🟢,2.00%
2025-11-25 07:00:00,Nasdaq 100,12H,LONG 🟢,42%,25018.830078125,OPEN,2.52%
2025-11-25 07:00:00,AUS 200,12H,LONG 🟢,54%,8628.7998046875,FLIP 🔄,-0.74%
2025-11-25 07:00:00,S&P 500,12H,LONG 🟢,48%,6766.10009765625,OPEN,2.49%
2025-11-25 03:00:00,Silver Futures,1H,LONG 🟢,67%,51.30500030517578,HIT SL 🔴,-0.50%
2025-11-25 00:00:00,S&P 500,1D,LONG 🟢,49%,6765.8798828125,OPEN,2.46%
2025-11-25 00:00:00,Nasdaq 100,1D,LONG 🟢,50%,25018.359375,OPEN,2.55%
2025-11-24 10:00:00,Dogecoin,1H,LONG 🟢,70%,0.14655,HIT TP 🟢,2.00%
2025-11-24 00:00:00,Silver Futures,1D,LONG 🟢,40%,50.29499816894531,HIT TP 🟢,7.00%
2025-11-23 21:00:00,Chainlink,1H,LONG 🟢,70%,12.65,HIT SL 🔴,-1.00%
2025-11-23 20:00:00,Dogecoin,1H,LONG 🟢,69%,0.1459,HIT TP 🟢,2.00%
2025-11-23 13:00:00,Chainlink,1H,LONG 🟢,73%,12.55,HIT SL 🔴,-1.00%
2025-11-23 03:00:00,Bitcoin,1H,LONG 🟢,40%,86500,HIT SL 🔴,-1.00%
2025-11-22 20:00:00,Ethereum,1H,LONG 🟢,76%,2805.82,HIT SL 🔴,-1.00%
2025-11-22 20:00:00,Chainlink,1H,LONG 🟢,69%,12.34,HIT TP 🟢,2.00%
2025-11-21 19:00:00,Nasdaq 100,4D,LONG 🟢,45%,25018.359375,OPEN,2.55%
2025-11-21 07:00:00,XRP,12H,SHORT 🔴,42%,1.95,HIT SL 🔴,-4.00%
2025-11-21 07:00:00,Solana,12H,SHORT 🔴,46%,128.65,HIT SL 🔴,-4.00%
2025-11-21 07:00:00,Dogecoin,12H,SHORT 🔴,49%,0.14049,HIT SL 🔴,-4.00%
2025-11-21 07:00:00,Ethereum,12H,SHORT 🔴,41%,2767,HIT SL 🔴,-4.00%
2025-11-21 07:00:00,Bitcoin,12H,SHORT 🔴,44%,85003.21,HIT SL 🔴,-4.00%
2025-11-21 07:00:00,Chainlink,12H,SHORT 🔴,42%,12.15,HIT SL 🔴,-4.00%
2025-11-21 07:00:00,BNB,12H,SHORT 🔴,49%,829.08,HIT SL 🔴,-4.00%
2025-11-21 07:00:00,Cardano,12H,SHORT 🔴,46%,0.4115,HIT SL 🔴,-4.00%
2025-11-21 07:00:00,Arbitrum,12H,SHORT 🔴,41%,0.1993,HIT SL 🔴,-4.00%
2025-11-21 00:00:00,Ethereum,1H,SHORT 🔴,72%,2801,HIT TP 🟢,2.00%
2025-11-21 00:00:00,Arbitrum,1H,SHORT 🔴,69%,0.2145,HIT TP 🟢,2.00%
2025-11-20 23:00:00,Cardano,1H,SHORT 🔴,72%,0.4283,HIT TP 🟢,2.00%
2025-11-20 11:30:00,S&P 500,1H,SHORT 🔴,40%,6600.22021484375,HIT SL 🔴,-0.50%
2025-11-20 11:00:00,Nasdaq 100,4H,SHORT 🔴,67%,24212.26953125,HIT TP 🟢,1.00%
2025-11-20 11:00:00,S&P 500,4H,SHORT 🔴,65%,6576.31982421875,HIT SL 🔴,-0.50%
2025-11-20 11:00:00,US Oil,1H,SHORT 🔴,65%,58.95000076293945,HIT SL 🔴,-0.50%
2025-11-20 10:00:00,Gold Futures,1H,SHORT 🔴,55%,4069.5,HIT TP 🟢,1.00%
2025-11-20 09:00:00,US Oil,1H,LONG 🟢,62%,59.720001220703125,HIT TP 🟢,1.00%
2025-11-19 10:30:00,Nasdaq 100,1H,SHORT 🔴,52%,24629.283203125,HIT SL 🔴,-0.50%
2025-11-19 10:00:00,Bitcoin,1H,SHORT 🔴,70%,90147.98,HIT SL 🔴,-1.00%
2025-11-19 08:00:00,Ethereum,1H,SHORT 🔴,68%,3063.98,HIT TP 🟢,2.00%
2025-11-19 04:00:00,Silver Futures,1H,LONG 🟢,74%,51.95500183105469,HIT SL 🔴,-0.50%
2025-11-19 03:00:00,US Oil,4H,SHORT 🔴,43%,59.5,HIT TP 🟢,1.00%
2025-11-18 22:00:00,Ethereum,1H,SHORT 🔴,74%,3073.98,HIT TP 🟢,2.00%
2025-11-18 19:00:00,EUR/USD,1D,SHORT 🔴,54%,1.1581177711486816,FLIP 🔄,-0.18%
