Asset,Type,Timeframe,Signal,Entry Time,Exit Time,PnL,Reason
SOL/USDT,crypto,1d,SHORT,2024-12-26 00:00:00,2025-01-03 00:00:00,-0.1567477056920058,Kijun Cross
SOL/USDT,crypto,1d,LONG,2025-07-17 00:00:00,2025-08-01 00:00:00,-0.07254249259512419,Kijun Cross
DOGE/USDT,crypto,4h,LONG,2025-12-09 16:00:00,2025-12-11 00:00:00,-0.08389124668435002,Kijun Cross
DOGE/USDT,crypto,4h,SHORT,2025-12-12 16:00:00,2025-12-20 20:00:00,0.029901350557839046,Kijun Cross
DOGE/USDT,crypto,4h,SHORT,2025-12-26 08:00:00,2026-01-01 16:00:00,-0.003792850303223883,Kijun Cross
DOGE/USDT,crypto,1d,SHORT,2025-06-12 00:00:00,2025-07-11 00:00:00,-0.10875838334893456,Kijun Cross
DOGE/USDT,crypto,1d,LONG,2025-07-18 00:00:00,2025-07-31 00:00:00,-0.11337571398349905,Kijun Cross
DOGE/USDT,crypto,1d,LONG,2025-09-12 00:00:00,2025-09-22 00:00:00,-0.12735130232895606,Kijun Cross
ETH/USDT,crypto,1d,SHORT,2025-01-07 00:00:00,2025-05-06 00:00:00,0.4618062980289808,Kijun Cross
ETH/USDT,crypto,1d,LONG,2025-07-12 00:00:00,2025-09-24 00:00:00,0.40796322344123026,Kijun Cross
BTC/USDT,crypto,4h,SHORT,2025-12-14 08:00:00,2025-12-21 20:00:00,0.00828384156310136,Kijun Cross
BTC/USDT,crypto,4h,LONG,2025-12-29 04:00:00,2025-12-29 08:00:00,-0.02132003528506651,Kijun Cross
BTC/USDT,crypto,4h,LONG,2026-01-02 08:00:00,2026-01-03 04:00:00,-0.001,End of Data
BTC/USDT,crypto,1d,LONG,2025-04-27 00:00:00,2025-06-22 00:00:00,0.0756937524496239,Kijun Cross
BTC/USDT,crypto,1d,LONG,2025-07-12 00:00:00,2025-08-24 00:00:00,-0.03501707711141151,Kijun Cross
BTC/USDT,crypto,1d,LONG,2025-10-03 00:00:00,2025-10-10 00:00:00,-0.07540623820927712,Kijun Cross
LINK/USDT,crypto,1d,SHORT,2025-01-13 00:00:00,2025-01-16 00:00:00,-0.18675851393188864,Kijun Cross
LINK/USDT,crypto,1d,LONG,2025-01-19 00:00:00,2025-01-27 00:00:00,-0.0030627062706269454,Kijun Cross
LINK/USDT,crypto,1d,SHORT,2025-06-09 00:00:00,2025-06-10 00:00:00,-0.07502234636871512,Kijun Cross
LINK/USDT,crypto,1d,LONG,2025-07-13 00:00:00,2025-08-01 00:00:00,0.025785714285714394,Kijun Cross
